,feature,class_label
0,"[-7.85491943e+02  1.15914963e+02  4.23863024e-01  3.08183551e+00
  1.80664957e-01  6.13754749e+00 -6.93258429e+00  3.38045120e-01
 -2.75866747e+00 -1.30131340e+00 -1.00185995e+01 -3.40582275e+00
 -6.58554125e+00 -4.23951435e+00 -6.24143887e+00 -6.30697250e+00
 -2.02494478e+00  1.66770124e+00 -6.36385918e+00  6.90532446e-01
 -3.49245167e+00  6.79287389e-02 -2.08602399e-01  2.33606362e+00
 -7.31987596e-01  6.10886574e+00 -2.68456721e+00 -2.83783412e+00
 -4.41963339e+00 -1.86647683e-01 -2.04587412e+00  3.97536010e-01
 -5.08359289e+00  2.19704819e+00 -9.98489141e-01 -1.94871104e+00
 -1.92926943e+00  4.17268181e+00 -4.86754745e-01  2.41797042e+00]",0
1,"[-8.02448730e+02  1.10475174e+02  3.29167938e+00  1.50376928e+00
  2.38104439e+00  1.04443245e+01 -2.76487255e+00  2.45581508e+00
 -5.02062514e-02  2.46849284e-01 -9.85656929e+00 -3.51231718e+00
 -5.88521194e+00 -4.63214540e+00 -4.82824707e+00 -3.34771705e+00
 -1.99647903e+00  4.39191532e+00 -2.89155388e+00  1.89655256e+00
 -7.38263905e-01 -7.94570208e-01 -4.65664721e+00 -3.95477325e-01
 -4.00563335e+00  2.68939304e+00 -3.26647329e+00 -9.24863696e-01
 -1.74605048e+00  1.33039045e+00 -7.44131505e-01  2.98308969e+00
 -3.29788375e+00  1.25476217e+00 -3.18432236e+00 -2.76064181e+00
 -1.80668712e+00  3.52485108e+00 -6.99103236e-01  3.37527490e+00]",0
2,"[-7.8304083e+02  1.1688343e+02  9.0625858e-01  1.0534269e+00
 -1.9185833e+00  5.5867858e+00 -8.4770212e+00  2.8793805e+00
  4.0597665e-01  1.4615084e+00 -9.5058889e+00 -3.8049517e+00
 -4.4378734e+00 -4.9683576e+00 -4.3495555e+00 -3.3971179e+00
 -1.5912300e+00  4.5836897e+00 -4.6991181e+00 -9.9585861e-02
 -3.0915668e+00 -2.7067974e+00 -6.4347477e+00 -2.1608148e+00
 -5.8549042e+00  2.4919462e+00 -4.4302001e+00 -3.0119996e+00
 -3.5897365e+00 -7.7053553e-01 -2.9720979e+00  1.4991146e+00
 -3.6245897e+00  1.2791840e+00 -2.6547120e+00 -1.9701136e+00
 -3.1249068e+00  1.2772642e+00 -1.8321158e+00  2.9743257e+00]",0
3,"[-7.8971490e+02  1.1097373e+02  3.7877244e-01  3.1957994e+00
 -1.4537435e+00  1.0429524e+01 -6.2061882e+00  9.3361920e-01
 -5.7480896e-01 -1.2837894e+00 -9.5279903e+00 -3.0882711e+00
 -3.1310692e+00 -2.3556433e+00 -3.8010507e+00 -2.5600927e+00
 -1.1461337e+00  5.5822587e+00 -2.8352354e+00  2.4256611e+00
 -1.5764465e+00 -1.3801162e+00 -4.7386880e+00 -1.8131814e+00
 -5.3614516e+00  8.1479073e-01 -4.3842473e+00  4.8997766e-01
 -3.2518601e-01  2.0250652e+00 -1.0629346e+00 -2.5534777e-02
 -6.1272955e+00 -7.2256440e-01 -2.7460570e+00 -7.8198183e-01
 -2.0760336e+00  2.3750515e+00 -1.4047097e+00  2.5582850e+00]",0
4,"[-7.6162268e+02  1.2440632e+02 -2.1690712e+00  4.8530889e+00
 -8.2308006e+00  6.0815001e+00 -5.6826401e+00 -2.4867814e+00
 -3.5396647e+00 -4.3953714e-01 -7.6311798e+00  1.8473078e+00
 -2.3731971e-01 -2.8729711e+00 -2.6603644e+00 -2.4858532e+00
 -3.4705825e+00  3.8209815e+00 -2.5064545e+00 -1.2870207e-01
  1.4297030e+00  3.0664167e+00 -4.9734526e+00  1.2020879e-01
 -5.3524785e+00 -3.5196534e-01 -5.7455034e+00 -5.4935918e+00
 -6.8001842e+00 -7.4491733e-01 -1.3305244e+00  5.5391245e+00
  1.7055665e+00  3.9869385e+00 -5.9915626e-01 -2.0619643e+00
 -3.6071630e+00  1.9286771e+00 -2.1753570e-01  3.5145054e+00]",0
5,"[-7.94420105e+02  1.12811325e+02  2.50679469e+00  1.90969741e+00
  1.94515884e-01  9.60533714e+00 -4.34475994e+00  1.64134431e+00
  4.42469925e-01  2.01063067e-01 -9.92344189e+00 -2.42246461e+00
 -4.04504395e+00 -5.95831013e+00 -5.64205313e+00 -1.88769388e+00
 -2.81824082e-01  5.79294729e+00 -3.01122093e+00  1.68551219e+00
 -1.29069757e+00 -2.86578131e+00 -5.67980862e+00 -6.67518258e-01
 -5.45059633e+00  1.50001633e+00 -4.74877739e+00 -2.85896063e+00
 -4.12748337e+00 -5.64221203e-01 -1.78076100e+00  2.95858836e+00
 -3.05210185e+00  1.33004737e+00 -1.83543873e+00 -1.11644661e+00
 -1.24319410e+00  2.80895305e+00 -1.58164167e+00  3.10281968e+00]",0
6,"[-8.0335309e+02  1.1010680e+02  5.2766590e+00  2.2234268e+00
  3.2603164e+00  1.3919077e+01 -1.2220728e+00  2.3360081e+00
 -1.7997237e-02 -3.0127810e-02 -9.6131878e+00 -7.0319575e-01
 -3.2430129e+00 -4.3866029e+00 -4.5358415e+00 -2.0965466e+00
 -7.6317114e-01  4.9648547e+00 -3.0204103e+00  2.3971694e+00
 -6.6767180e-01 -1.8229477e+00 -5.7257700e+00 -1.3883169e+00
 -4.9880066e+00  1.9419638e+00 -5.4148822e+00 -4.8995595e+00
 -3.4684024e+00  7.2220743e-01 -2.7582388e+00  1.1486709e+00
 -4.9440937e+00  1.4778456e-01 -2.2217658e+00 -2.1183999e+00
 -2.0017865e+00  2.7956560e+00 -1.5721982e+00  2.5874100e+00]",0
7,"[-7.7205054e+02  1.1799219e+02  3.4466538e+00  7.8338218e+00
 -3.9176917e+00  8.9211769e+00 -6.5422173e+00  2.3511615e+00
 -1.5625042e+00  1.3357346e+00 -8.6914415e+00 -3.7543416e+00
 -5.3791342e+00 -5.7620983e+00 -5.9051828e+00 -6.0535960e+00
 -4.2077270e+00  7.3599374e-01 -6.7792926e+00 -2.1090729e+00
 -3.4363561e+00 -6.2785697e-01 -4.6648664e+00 -2.0279067e+00
 -6.3948469e+00  9.9976736e-01 -4.5458875e+00 -1.9642884e+00
 -3.7414231e+00  1.1741975e-01 -1.8071736e+00  1.1338934e+00
 -5.2285533e+00  3.6335966e-01 -1.4001899e+00  5.8328485e-01
  8.9130175e-01  4.9290833e+00 -6.5314740e-01  2.0802135e+00]",0
8,"[-7.81279968e+02  1.09856224e+02  2.89448786e+00  9.42784882e+00
 -6.51153326e-01  1.38620729e+01 -3.05097342e+00  2.73329902e+00
 -2.49979973e+00 -3.60926539e-01 -1.06855669e+01 -2.56218719e+00
 -3.51474380e+00 -5.11863995e+00 -4.88929987e+00 -3.89558649e+00
 -2.36579394e+00  2.83763695e+00 -4.00190020e+00  1.57800007e+00
 -9.83509719e-01 -1.19790995e+00 -3.83928943e+00  9.85513210e-01
 -4.43419266e+00  3.52321267e+00 -3.43033338e+00 -3.41439724e+00
 -2.97323442e+00  1.82927382e+00 -1.54687393e+00  1.85409319e+00
 -2.72205615e+00  1.13964021e+00 -2.57119703e+00 -1.07627344e+00
 -1.40240073e+00  2.95694566e+00 -1.17610025e+00  1.79004025e+00]",0
9,"[-7.4065411e+02  9.6148872e+01 -6.4872227e+00  1.4397294e+01
 -7.6970410e+00  1.6209908e+01 -1.0439033e+01  1.1382386e+01
 -6.6215062e+00  2.7037716e+00 -9.5797129e+00 -3.3736379e+00
 -5.0940280e+00 -4.3901572e+00 -4.5055666e+00 -2.6113918e+00
  9.5985569e-02  2.9430013e+00 -1.1520212e+00  1.8349602e+00
 -7.9634076e-01 -1.3123149e-01 -3.7480335e+00 -3.7556484e-01
 -4.3458920e+00  1.3713212e+00 -4.3401017e+00 -2.8384123e+00
 -3.6771381e+00 -1.5711042e+00 -1.3994778e+00  1.2771151e+00
 -3.2295792e+00  1.1796856e+00 -1.8953009e+00  4.1284513e-01
 -5.5371606e-01  2.9146254e+00  1.8033026e-01  4.4003067e+00]",0
10,"[-7.5622235e+02  9.7916428e+01 -7.5799632e+00  1.8208384e+01
 -5.4245691e+00  1.3904287e+01 -6.5389557e+00  7.2231102e+00
 -1.3392651e+00 -6.3351506e-01 -9.1617928e+00 -5.1670861e-01
 -3.0065339e+00 -4.4384627e+00 -1.8487180e+00 -8.0837242e-02
 -7.9298943e-01  3.5487394e+00 -1.2260764e+00  6.3640261e-01
 -1.7526890e+00 -2.6703617e-01 -5.0959325e+00 -1.0704368e+00
 -4.7817864e+00  1.3629087e+00 -3.0648677e+00 -1.0238254e+00
 -2.3651049e+00  4.4448674e-01 -2.4705980e+00  2.1440346e+00
 -2.3299186e+00  1.6231847e+00 -1.3415502e+00  3.7040579e-01
 -1.0774615e+00  3.5059075e+00  2.3778068e-01  2.8920557e+00]",0
11,"[-7.9734888e+02  1.0832633e+02  1.1141779e+00  3.8289599e+00
  2.3437660e+00  9.6657686e+00 -2.9470637e+00  4.6817837e+00
  2.3924250e-02  5.8641303e-02 -9.4457092e+00 -3.5681734e+00
 -3.7543395e+00 -3.9996324e+00 -4.6099787e+00 -2.5352037e+00
 -1.2261623e+00  4.5215793e+00 -2.9454648e+00  5.5846220e-01
 -1.3369203e+00  7.4450761e-02 -5.4119740e+00 -2.2499757e+00
 -5.6590896e+00  8.9513439e-01 -4.8291302e+00 -1.6358643e+00
 -2.0152493e+00  1.8412904e+00  3.8795743e-02  2.4542146e+00
 -2.8521883e+00  2.4887362e+00 -2.9896566e-01 -8.6611861e-01
 -2.7462177e+00  3.2158270e+00 -1.5258318e-01  3.6341729e+00]",0
12,"[-7.7661145e+02  1.1924614e+02  3.2744589e+00  1.3260595e+01
  1.2550781e+00  4.8133626e+00 -5.6919103e+00  1.4135851e+00
 -3.9747076e+00 -3.2698901e+00 -9.7600985e+00 -2.1666985e+00
 -5.0997839e+00 -4.9760065e+00 -3.0681884e+00 -3.7045836e+00
 -1.3798280e+00  3.7302902e+00 -7.2371082e+00 -6.6369876e-02
 -4.2276912e+00 -3.3769665e+00 -3.5807798e+00  1.3132765e+00
 -2.4175737e+00  4.9799852e+00 -9.9935991e-01 -8.0775714e-01
 -4.1688337e+00 -6.8728876e-01 -1.1713188e+00  2.2075994e+00
 -3.6603141e+00  2.0002353e+00 -6.0383368e-01 -1.5452639e+00
 -2.4734445e+00  2.9866536e+00 -1.8749876e+00 -2.6636543e-02]",0
13,"[-7.5376263e+02  1.1795251e+02 -7.6915312e+00  5.3594832e+00
 -7.7195044e+00  5.8242269e+00 -9.2341490e+00 -3.4255333e+00
 -3.7593842e-01  3.5849805e+00 -5.5487418e+00 -2.5595701e+00
 -3.0276601e+00 -7.2571073e+00 -5.6869740e+00 -8.8147869e+00
 -5.5239778e+00  8.8591743e-01 -3.5891738e+00 -2.0471826e+00
 -2.1543844e+00  1.4137416e+00 -2.7503657e+00  9.4182813e-01
  4.4562864e-01  1.0949792e+00 -3.4222665e+00 -7.5015283e-01
 -2.3760374e+00 -1.4587305e-01 -3.0938585e+00 -1.1364318e+00
 -1.5567894e+00  2.4452026e+00  1.5628418e+00 -8.2407999e-01
 -4.0296297e+00 -4.2660307e-02  2.1477830e+00  2.6566668e+00]",0
14,"[-7.61495483e+02  1.03518417e+02 -6.03304338e+00  1.44100275e+01
 -2.52338886e+00  1.54934053e+01 -5.03608847e+00  4.38889551e+00
 -2.42724347e+00  1.45900160e-01 -8.91166210e+00 -2.37495399e+00
 -6.23183823e+00 -3.43410492e+00 -3.98751473e+00 -2.51756525e+00
 -1.63906157e+00  1.42174911e+00 -2.38835430e+00  7.86761463e-01
 -1.89878201e+00 -7.33246803e-01 -3.29294419e+00 -2.01968765e+00
 -3.73461151e+00  3.08298421e+00 -4.24313021e+00 -7.03679204e-01
 -1.75438929e+00  1.27972519e+00 -2.18630385e+00  1.85117388e+00
 -2.45964980e+00  2.00850844e+00 -5.82568884e-01  1.23220302e-01
 -2.39367270e+00  3.46747994e+00  2.66500026e-01  3.11150432e+00]",0
15,"[-7.6378900e+02  1.0109766e+02 -6.2186728e+00  1.2986284e+01
 -2.6321387e+00  1.2366729e+01 -7.5132637e+00  4.9231305e+00
 -2.7273383e+00 -6.5672785e-01 -1.0391680e+01 -7.2406232e-01
 -5.0746255e+00 -4.2617455e+00 -3.1222878e+00 -2.5415745e+00
 -2.7402794e+00  3.6714597e+00 -1.9760556e+00  9.9380955e-02
 -1.3076150e+00 -1.4731411e+00 -4.9466848e+00 -1.5200795e+00
 -4.7389207e+00  2.0039465e+00 -2.7483068e+00 -1.7938406e+00
 -4.1461921e+00 -8.9903766e-01 -1.9039131e+00  2.7142713e+00
 -2.5083785e+00  1.5189604e+00 -1.7608608e+00  2.1241173e-01
 -4.0200517e-01  4.4134898e+00  6.9351006e-01  3.8272994e+00]",0
16,"[-7.95505371e+02  1.08806755e+02 -1.79140830e+00  4.17465687e+00
  6.47887039e+00  8.35903168e+00 -5.59827662e+00  6.64052486e+00
 -3.03312421e-01 -5.33425629e-01 -7.47579861e+00 -3.58353114e+00
 -6.82532978e+00 -3.28192663e+00 -2.33148170e+00 -2.16783166e+00
 -1.86273646e+00  5.53800821e+00 -5.88507593e-01  8.20628524e-01
 -1.02366292e+00  1.86560881e+00 -5.60799503e+00 -2.69087195e+00
 -4.49782276e+00  7.85959780e-01 -5.13330460e+00 -1.75204015e+00
 -2.83052564e+00  6.73092127e-01 -1.53067017e+00  2.62271667e+00
 -1.70586157e+00  1.96540046e+00 -5.58489740e-01  1.73138514e-01
 -2.48214293e+00  1.84344339e+00  3.90939772e-01  3.63844275e+00]",0
17,"[-7.9005127e+02  1.0708300e+02 -3.5453043e+00  5.4376040e+00
  3.3900123e+00  8.5215626e+00 -4.7515965e+00  5.1773953e+00
 -3.2147553e+00 -1.3995429e+00 -7.7006564e+00 -3.8449864e+00
 -5.7307582e+00 -2.3113980e+00 -3.1041811e+00 -3.7947609e+00
 -2.2248189e+00  4.2312498e+00 -2.4749150e+00 -6.3295864e-02
 -1.4948771e+00  2.3664308e+00 -5.4921832e+00 -1.7356423e+00
 -3.2397332e+00  9.9244541e-01 -4.9604516e+00 -1.4974529e+00
 -2.6258173e+00  1.4793155e+00 -1.7925742e+00  1.3339460e+00
 -3.3169510e+00  6.0925215e-01 -1.7985523e+00  8.3387995e-01
 -2.7243161e+00  1.4525667e+00  3.6730722e-01  2.9889183e+00]",0
